03/18/2022 03:53:14 | models |  INFO | Created entity embeddings: Embedding(2601, 128)
03/18/2022 03:53:14 | models |  INFO | Created variable embeddings: Embedding(6, 128)
03/18/2022 03:53:14 | models |  INFO | Created relation embeddings: Embedding(49, 128)
03/18/2022 03:53:51 | train |  INFO | Batch loss: 0.00011044681014027447
03/18/2022 03:53:52 | train |  INFO | Batch loss: 8.055508078541607e-05
03/18/2022 03:53:52 | train |  INFO | Batch loss: 0.00026334941503591835
03/18/2022 03:53:53 | train |  INFO | Batch loss: 0.0001906174438772723
03/18/2022 03:53:53 | train |  INFO | Batch loss: 0.00011310696572763845
03/18/2022 03:53:53 | train |  INFO | Batch loss: -7.264077430590987e-05
03/18/2022 03:53:54 | train |  INFO | Batch loss: 3.7896035792073235e-05
03/18/2022 03:53:54 | train |  INFO | Batch loss: -3.709256634465419e-05
03/18/2022 03:53:55 | train |  INFO | Batch loss: 9.226202564605046e-06
03/18/2022 03:53:55 | train |  INFO | Batch loss: 2.0363926523714326e-05
03/18/2022 03:53:56 | train |  INFO | Batch loss: 0.00011331617861287668
03/18/2022 03:53:56 | train |  INFO | Batch loss: -8.266389340860769e-05
03/18/2022 03:53:56 | train |  INFO | Batch loss: 0.00018157243903260678
03/18/2022 03:53:57 | train |  INFO | Batch loss: -2.220034548372496e-05
03/18/2022 03:53:57 | train |  INFO | Batch loss: -0.00018707930576056242
03/18/2022 03:53:58 | train |  INFO | Batch loss: 6.829500489402562e-05
03/18/2022 03:53:58 | train |  INFO | Batch loss: 2.6181936846114695e-05
03/18/2022 03:53:59 | train |  INFO | Batch loss: -6.287694122875109e-05
03/18/2022 03:53:59 | train |  INFO | Batch loss: 8.098721446003765e-05
03/18/2022 03:53:59 | train |  INFO | Batch loss: -5.945920929661952e-05
03/18/2022 03:54:00 | train |  INFO | Batch loss: -3.38017925969325e-05
03/18/2022 03:54:00 | train |  INFO | Batch loss: -0.00029469371656887233
03/18/2022 03:54:01 | train |  INFO | Batch loss: -5.989789860905148e-05
03/18/2022 03:54:01 | train |  INFO | Batch loss: -3.2013060263125226e-05
03/18/2022 03:54:02 | train |  INFO | Batch loss: -3.402590664336458e-05
03/18/2022 03:54:02 | train |  INFO | Batch loss: 0.00010442435450386256
03/18/2022 03:54:03 | train |  INFO | Batch loss: 6.934761768206954e-05
03/18/2022 03:54:03 | train |  INFO | Batch loss: 0.0001104086622945033
03/18/2022 03:54:03 | train |  INFO | Batch loss: -0.0001356661377940327
03/18/2022 03:54:04 | train |  INFO | Batch loss: 0.00013474047591444105
03/18/2022 03:54:04 | train |  INFO | Batch loss: 0.00017347991524729878
03/18/2022 03:54:05 | train |  INFO | Batch loss: 0.00020860314543824643
03/18/2022 03:54:05 | train |  INFO | Batch loss: -0.00024973033578135073
03/18/2022 03:54:06 | train |  INFO | Batch loss: 0.0002907788730226457
03/18/2022 03:54:06 | train |  INFO | Batch loss: -0.00024848879547789693
03/18/2022 03:54:06 | train |  INFO | Batch loss: -0.00015484035247936845
03/18/2022 03:54:07 | train |  INFO | Batch loss: -0.0001764446496963501
03/18/2022 03:54:07 | train |  INFO | Batch loss: -4.3886899220524356e-05
03/18/2022 03:54:08 | train |  INFO | Batch loss: 0.00016381443128921092
03/18/2022 03:54:08 | train |  INFO | Batch loss: -8.265375799965113e-05
03/18/2022 03:54:09 | train |  INFO | Batch loss: -0.00013992309686727822
03/18/2022 03:54:09 | train |  INFO | Batch loss: -0.00015581012121401727
03/18/2022 03:54:09 | train |  INFO | Batch loss: -5.183875691727735e-05
03/18/2022 03:54:10 | train |  INFO | Batch loss: 2.1617412130581215e-05
03/18/2022 03:54:10 | train |  INFO | Batch loss: -0.0004178518138360232
03/18/2022 03:54:11 | train |  INFO | Batch loss: 6.085872519179247e-05
03/18/2022 03:54:11 | train |  INFO | Batch loss: 0.00011531829659361392
03/18/2022 03:54:12 | train |  INFO | Batch loss: 0.000149317376781255
03/18/2022 03:54:12 | train |  INFO | Batch loss: -0.00022052944405004382
03/18/2022 03:54:12 | train |  INFO | Batch loss: -0.00013058721378911287
03/18/2022 03:54:13 | train |  INFO | Batch loss: 8.11022546258755e-05
